restaurant_name,link,rating,votes,cuisine_type,pricing,type1,type2,type3
Sam’s Mediterranean Cuisine,yelp.com/biz/sams-mediterranean-cuisine-davis,4.5 star rating,1173,"Mediterranean,Halal,",$,Mediterranean,Halal,
Burgers and Brew,yelp.com/biz/burgers-and-brew-davis,4 star rating,2089,"Burgers,Bars,",$$,Burgers,Bars,
Four Seasons Gourmet Chinese Restaurant,yelp.com/biz/four-seasons-gourmet-chinese-restaurant-davis,4.5 star rating,747,"Chinese,",$,Chinese,,
Dutch Bros Coffee,yelp.com/biz/dutch-bros-coffee-davis-2,4.5 star rating,785,"Coffee & Tea,Juice Bars & Smoothies,",$,Coffee & Tea,Juice Bars & Smoothies,
Taqueria Davis,yelp.com/biz/taqueria-davis-davis,4.5 star rating,611,"Mexican,",$,Mexican,,
Dumpling House,yelp.com/biz/dumpling-house-davis,4 star rating,1255,"Chinese,",$,Chinese,,
Sweet and Shavery,yelp.com/biz/sweet-and-shavery-davis,4.5 star rating,368,"Desserts,Shaved Ice,Ice Cream & Frozen Yogurt,",$,Desserts,Shaved Ice,Ice Cream & Frozen Yogurt
Mikuni Japanese Restaurant and Sushi Bar,yelp.com/biz/mikuni-japanese-restaurant-and-sushi-bar-davis-2,4 star rating,920,"Japanese,Sushi Bars,Seafood,",$$,Japanese,Sushi Bars,Seafood
Taqueria Guadalajara,yelp.com/biz/taqueria-guadalajara-davis,4 star rating,839,"Mexican,",$,Mexican,,
Nugget Markets,yelp.com/biz/nugget-markets-davis,4.5 star rating,392,"Grocery,Fruits & Veggies,Sandwiches,",$$,Grocery,Fruits & Veggies,Sandwiches
Zumapoke & Lush Ice,yelp.com/biz/zumapoke-and-lush-ice-davis-2,4.5 star rating,523,"Sushi Bars,Seafood,Poke,",$$,Sushi Bars,Seafood,Poke
Woodstock’s Pizza,yelp.com/biz/woodstocks-pizza-davis-3,4 star rating,859,"Pizza,Gluten-Free,Vegetarian,",$$,Pizza,Gluten-Free,Vegetarian
